,Sales,Quantity,Discount,Profit,Days Since First Order,lag_sales_1,lag_profit_1,rolling_sales_mean_3,rolling_profit_mean_3,cohort,churn,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Sub-Category_Chairs,Sub-Category_Furnishings,Sub-Category_Tables
1205,132,4,0,-18,91,603,181,308,58,3,1,0,0,1,1,0,0,1,0,0,1,0
1206,91,2,0,15,126,368,40,662,161,4,1,0,0,1,1,0,0,0,1,0,1,0
1211,29,1,0,8,693,581,104,543,-86,23,1,0,0,1,0,0,0,0,0,1,0,0
1212,363,5,0,0,657,638,-31,420,-34,21,0,0,0,1,0,0,0,1,0,1,0,0
1216,36,3,0,15,0,225,2,114,15,0,1,0,0,1,0,0,0,0,1,0,1,0
1218,14,5,0,-11,490,2275,386,812,130,16,1,0,0,1,1,0,0,0,0,0,1,0
1219,239,2,0,14,1020,909,-51,385,-12,34,1,0,1,0,0,0,0,0,1,0,0,0
1224,127,3,0,21,684,53,14,73,15,22,1,0,0,1,0,0,0,0,0,0,1,0
1225,801,2,0,50,507,10,3,273,19,17,0,0,0,1,1,0,0,0,1,1,0,0
1226,885,9,0,-99,507,801,50,565,-15,17,0,0,0,1,1,0,0,0,1,1,0,0
1227,28,2,0,7,185,361,83,284,62,6,1,0,1,0,1,0,0,0,1,0,1,0
1230,14,3,0,5,390,6,1,70,13,13,1,0,0,1,1,0,0,0,1,0,1,0
1231,199,2,0,8,94,40,11,201,-5,3,1,0,0,1,0,0,1,0,0,1,0,0
1232,4228,6,0,158,94,199,8,1489,59,3,1,0,0,1,0,0,1,0,0,0,0,0
1233,2003,5,0,-25,94,4228,158,2144,47,3,1,0,0,1,0,0,1,0,0,0,0,0
1237,87,3,0,-45,726,7,-2,159,-17,24,1,0,0,0,0,0,1,0,0,0,0,0
1238,25,5,0,8,666,815,-339,285,-108,22,0,1,0,0,0,1,0,0,1,0,1,0
1240,23,2,0,7,104,1367,259,474,93,4,1,0,1,0,1,0,1,0,0,0,1,0
1241,521,4,0,-250,104,23,7,637,5,4,1,0,1,0,1,0,1,0,0,0,0,0
1242,770,3,0,77,100,313,-120,362,-14,3,1,0,1,0,1,0,0,0,1,1,0,0
1243,21,4,0,6,990,245,27,185,20,33,1,0,1,0,1,0,0,0,1,0,1,0
1244,43,3,0,15,0,47,-2,105,31,0,1,0,0,0,0,0,0,0,1,0,1,0
1246,429,5,0,111,0,25,8,423,-73,0,0,0,0,1,0,1,0,0,0,0,0,1
1247,161,2,0,45,0,429,111,205,55,0,0,0,0,1,0,1,0,0,0,1,0,0
1249,504,5,0,126,0,185,76,233,66,0,0,0,0,1,0,0,0,1,0,0,0,0
1252,328,3,0,-147,900,458,-137,411,-91,30,1,1,0,0,1,0,1,0,0,0,0,1
1254,87,3,0,7,207,182,52,136,40,7,1,0,0,1,1,0,0,0,1,0,1,0
1257,127,3,0,21,568,163,-81,177,-38,19,1,0,0,0,1,0,0,1,0,0,1,0
1258,91,2,0,15,0,18,7,69,9,0,0,0,0,1,1,0,0,0,1,0,1,0
1259,33,7,0,12,0,91,15,48,12,0,0,0,0,1,1,0,0,0,1,0,1,0
1261,21,4,0,6,763,6,-2,17,3,25,1,0,0,1,1,0,1,0,0,0,1,0
1262,15,3,0,5,462,2348,399,790,135,15,1,0,0,1,0,1,0,0,1,0,1,0
1263,42,3,0,16,805,1279,225,449,83,27,1,0,0,1,0,0,0,1,0,0,1,0
1264,14,2,0,3,471,409,-122,182,-34,16,1,0,0,1,0,0,0,0,1,0,1,0
1268,28,4,0,7,733,8,-7,97,-103,24,1,0,1,0,0,1,1,0,0,0,1,0
1269,518,8,0,-97,622,271,60,370,9,20,0,0,0,1,0,1,0,0,1,1,0,0
1270,6,1,0,3,622,518,-97,265,-11,20,0,0,0,1,0,1,0,0,1,0,1,0
1271,191,3,0,61,0,51,15,105,25,0,1,0,0,1,0,0,1,0,0,0,1,0
1272,25,5,0,-11,0,754,60,260,16,0,1,1,0,0,0,0,0,0,0,0,1,0
1274,272,3,0,18,1348,401,-131,472,-69,44,1,0,0,1,0,0,1,0,0,1,0,0
1275,80,1,0,8,1348,272,18,251,-35,44,1,0,0,1,0,0,1,0,0,1,0,0
1276,2888,11,0,609,1348,80,8,1080,211,44,1,0,0,1,0,0,1,0,0,1,0,0
1277,2254,5,0,375,1348,2888,609,1741,331,44,1,0,0,1,0,0,1,0,0,1,0,0
1278,314,2,0,-83,1046,19,5,882,-360,34,0,0,0,0,0,1,1,0,0,0,0,1
1281,449,2,0,-12,0,1537,0,1153,-11,0,1,0,0,1,0,0,1,0,0,1,0,0
1287,205,2,0,-12,47,17,6,90,0,1,1,0,0,1,0,0,0,0,1,0,0,0
1288,340,6,0,-34,665,563,-56,375,-13,21,0,0,0,0,1,0,0,0,1,1,0,0
1291,51,2,0,10,90,220,-42,160,-9,3,0,0,0,0,1,0,1,0,0,0,1,0
1292,42,3,0,9,90,51,10,104,-7,3,0,0,0,0,1,0,1,0,0,0,1,0
1293,4,3,0,1,0,674,-19,296,1,0,1,0,0,0,1,0,0,1,0,0,1,0
1294,20,3,0,5,0,4,1,233,-4,0,1,0,0,0,1,0,0,1,0,0,1,0
1297,799,9,0,207,526,257,24,417,72,17,1,0,0,1,0,0,1,0,0,0,1,0
1298,563,5,0,7,102,1478,92,732,28,3,1,0,0,1,0,0,0,0,1,1,0,0
1305,291,4,0,-14,282,66,-103,195,-31,10,1,0,0,1,0,0,0,0,1,1,0,0
1307,166,3,0,21,29,17,-7,254,-4,1,0,0,0,1,0,0,0,0,1,0,1,0
1309,22,3,0,6,0,181,-8,98,4,0,1,0,0,1,0,1,0,0,1,0,1,0
1310,6,3,0,2,0,311,-42,159,-10,0,0,0,0,1,0,0,0,0,0,0,1,0
1312,1159,9,0,43,386,212,25,473,22,13,0,0,0,1,1,0,0,0,1,1,0,0
1314,24,5,0,10,224,12,4,35,-2,7,1,0,1,0,0,0,0,0,1,0,1,0
1316,563,5,0,56,380,28,7,317,48,12,1,0,0,1,1,0,0,0,1,1,0,0
1317,661,2,0,-231,894,21,8,378,-155,29,1,0,0,1,1,0,1,0,0,0,0,1
1318,502,3,0,-87,0,1293,80,693,-27,0,0,0,0,1,1,0,0,0,1,0,0,1
1319,915,4,0,102,328,76,26,366,50,11,1,0,1,0,0,1,0,0,1,1,0,0
1320,327,8,0,91,328,915,102,439,73,11,1,0,1,0,0,1,0,0,1,0,1,0
1329,221,2,0,2,1073,199,-37,210,-130,36,0,0,0,1,1,0,1,0,0,1,0,0
1330,108,5,0,-105,729,173,17,191,-36,24,1,0,0,1,0,0,0,0,0,0,1,0
1331,38,5,0,-29,0,650,-97,264,-47,0,1,0,0,1,1,0,0,0,0,0,1,0
1332,113,2,0,12,414,7,-6,200,-87,13,1,1,0,0,0,1,1,0,0,0,0,0
1333,83,4,0,21,758,6,3,203,-24,25,0,0,1,0,0,1,1,0,0,0,1,0
1334,561,2,0,70,0,3504,700,1424,285,0,1,0,0,1,1,0,0,1,0,1,0,0
1336,299,5,0,-167,770,25,-11,359,-39,25,1,0,0,1,0,0,1,0,0,0,0,0
1337,396,4,0,198,100,563,7,813,99,3,1,0,0,1,0,0,1,0,0,0,1,0
1338,241,2,0,33,697,9,4,125,16,22,1,0,0,0,0,0,0,1,0,0,0,0
1339,8,3,0,3,697,241,33,86,13,22,1,0,0,0,0,0,0,1,0,0,1,0
1341,899,5,0,-12,909,1267,316,737,106,30,1,0,0,0,0,0,0,0,0,1,0,0
1342,368,3,0,81,0,825,-117,405,-9,0,1,0,0,1,1,0,0,0,0,1,0,0
1346,35,4,0,14,746,191,74,206,15,24,0,0,0,0,0,0,0,0,1,0,1,0
1347,974,4,0,-97,755,572,35,566,-81,25,0,0,0,1,0,0,0,0,0,0,0,1
1348,589,5,0,-6,0,637,-127,423,-41,0,0,0,0,0,0,0,1,0,0,1,0,0
1349,82,3,0,33,536,569,7,234,2,18,1,0,0,1,1,0,1,0,0,0,1,0
1359,289,2,0,10,650,15,3,115,-5,21,1,0,0,1,1,0,0,1,0,0,0,0
1363,529,5,0,105,288,218,0,255,37,9,1,0,0,1,0,0,0,0,1,0,1,0
1365,4007,10,0,-50,0,899,-12,2058,84,0,1,0,0,1,0,0,1,0,0,0,0,0
1367,291,5,0,75,0,696,160,334,74,0,1,0,0,1,1,0,1,0,0,1,0,0
1368,139,2,0,23,1139,589,-6,455,-36,37,0,0,0,0,0,0,0,0,1,0,1,0
1370,155,6,0,38,0,14,-10,246,-50,0,1,0,0,0,0,1,0,0,0,1,0,0
1372,1522,9,0,169,85,63,23,530,64,3,0,0,0,1,1,0,1,0,0,1,0,0
1373,194,2,0,-38,0,242,-42,162,-23,0,1,0,0,1,0,0,1,0,0,0,0,1
1374,872,4,0,244,0,194,-38,436,54,0,1,0,0,1,0,0,1,0,0,1,0,0
1375,317,3,0,-18,0,134,36,375,-30,0,1,0,0,1,0,0,0,0,0,1,0,0
1376,170,3,0,-17,1131,56,-74,186,-36,38,1,0,0,1,0,0,0,0,1,1,0,0
1377,101,3,0,30,718,301,45,146,29,23,1,1,0,0,0,0,0,0,1,0,1,0
1378,8,5,0,3,994,871,148,421,30,33,1,0,0,1,0,0,0,1,0,0,1,0
1379,302,3,0,69,994,8,3,394,73,33,1,0,0,1,0,0,0,1,0,0,0,0
1382,484,6,0,-84,389,715,178,681,19,12,1,0,0,1,0,0,0,0,1,1,0,0
1384,209,3,0,35,0,191,51,206,-99,0,0,0,0,1,0,0,0,1,0,0,1,0
1386,212,3,0,53,661,238,89,165,50,22,0,0,1,0,1,0,0,0,0,0,0,0
1391,1747,5,0,629,170,698,52,1036,251,5,1,0,0,1,0,0,0,0,1,0,0,1
1392,1421,8,0,-734,294,261,23,578,-229,9,1,0,1,0,1,0,1,0,0,0,0,1
1393,564,3,0,-304,993,275,-37,288,-110,33,0,0,0,1,0,1,0,0,1,0,0,1
1394,21,2,0,-11,428,218,-19,125,-5,14,1,0,0,0,1,0,0,0,0,0,1,0
1395,213,5,0,-39,428,21,-11,150,-23,14,1,0,0,0,1,0,0,0,0,1,0,0
1396,68,2,0,16,946,981,-140,355,-46,31,1,0,0,1,0,1,0,0,1,0,1,0
1397,386,9,0,-185,946,68,16,478,-103,31,1,0,0,1,0,1,0,0,1,0,0,1
1399,42,5,0,15,1049,498,134,311,-18,35,1,0,1,0,0,0,1,0,0,0,1,0
1401,46,7,0,3,257,12,4,40,12,9,1,0,0,1,0,1,0,0,1,0,1,0
1403,41,2,0,-19,367,51,-15,37,-9,12,0,0,0,1,0,0,0,0,0,0,1,0
1406,883,4,0,99,466,971,252,623,118,15,1,0,0,1,0,0,0,0,1,1,0,0
1407,230,3,0,20,466,883,99,695,124,15,1,0,0,1,0,0,0,0,1,1,0,0
1409,56,3,0,-26,1384,266,-292,260,-89,45,0,1,0,0,0,0,0,0,0,0,1,0
1410,159,4,0,31,756,1139,284,457,112,25,1,0,0,1,0,1,0,1,0,0,1,0
1412,643,4,0,56,0,68,28,248,33,0,1,0,0,0,1,0,0,1,0,1,0,0
1413,359,2,0,-5,0,664,88,596,-161,0,1,0,0,1,0,0,0,0,0,1,0,0
1414,122,3,0,-13,601,2,0,303,-90,20,0,0,0,1,0,0,0,0,1,1,0,0
1419,317,3,0,-18,801,170,-17,230,-4,26,0,0,0,1,0,0,0,0,0,1,0,0
1420,14,5,0,-6,801,317,-18,167,-13,26,0,0,0,1,0,0,0,0,0,0,1,0
1421,344,3,0,31,831,556,6,375,20,28,1,0,1,0,0,0,1,0,0,0,0,0
1422,14,2,0,4,831,344,31,305,13,28,1,0,1,0,0,0,1,0,0,0,1,0
1424,138,1,0,-34,1045,20,3,100,7,34,1,0,1,0,0,0,1,0,0,0,0,1
1426,9,1,0,2,687,23,5,17,4,23,0,0,0,1,0,1,0,0,1,0,1,0
1427,34,2,0,-15,607,20,5,19,-2,20,1,0,0,1,1,0,0,0,0,0,1,0
1428,20,2,0,-16,253,41,-19,37,-17,8,0,1,0,0,0,0,0,0,0,0,1,0
1429,7,5,0,-3,253,20,-16,23,-13,8,0,1,0,0,0,0,0,0,0,0,1,0
1431,47,2,0,4,761,35,-24,35,-3,25,1,0,0,1,1,0,0,0,1,1,0,0
1432,22,3,0,-7,266,502,-87,606,-4,8,0,0,0,1,1,0,0,0,0,0,1,0
1437,113,2,0,-3,214,7,-2,122,31,7,0,0,0,1,1,0,0,0,0,1,0,0
1438,2,2,0,-1,214,113,-3,41,-2,7,0,0,0,1,1,0,0,0,0,0,1,0
1440,146,1,0,-12,885,8,2,57,-1,29,1,1,0,0,0,0,0,0,1,0,0,1
1442,1059,4,0,307,852,1194,210,774,180,28,1,0,0,1,1,0,0,1,0,1,0,0
1443,478,2,0,47,0,340,-9,321,10,0,1,0,0,1,0,1,0,0,1,1,0,0
1444,59,4,0,27,0,14,4,48,17,0,0,0,0,1,0,0,0,0,1,0,1,0
1445,1565,6,0,407,407,399,-14,664,133,14,0,0,0,1,1,0,0,0,0,0,0,0
1446,218,3,0,-19,692,127,4,153,-14,23,1,0,0,1,0,0,0,0,1,1,0,0
1448,1652,3,0,314,604,29,8,754,142,20,1,0,0,1,0,0,0,1,0,0,0,1
1449,131,6,0,-95,0,731,219,375,55,0,1,1,0,0,0,0,0,0,0,0,1,0
1451,1913,9,0,401,87,2003,125,1328,179,3,1,0,1,0,0,1,0,0,1,0,0,1
1452,2567,8,0,770,0,18,6,1026,254,0,0,0,0,1,0,0,0,0,0,1,0,0
1453,20,4,0,6,1030,21,6,15,3,34,1,0,0,1,1,0,0,1,0,0,1,0
1461,523,5,0,-26,874,330,-115,288,-45,28,1,0,0,1,0,0,1,0,0,0,0,0
1462,128,3,0,-23,194,38,-50,561,106,6,0,0,0,1,0,0,0,0,0,1,0,0
1463,79,3,0,-29,437,25,3,93,-3,14,0,1,0,0,0,1,1,0,0,0,0,1
1467,186,3,0,41,129,382,-92,325,-19,4,1,0,1,0,0,0,0,1,0,0,1,0
1468,366,4,0,-110,0,124,27,183,-22,0,1,0,0,1,0,1,0,0,0,1,0,0
1469,289,7,0,26,0,177,-120,157,-32,0,0,0,1,0,1,0,0,0,1,0,1,0
1470,205,2,0,13,309,291,-14,187,-34,11,1,0,0,1,0,0,1,0,0,1,0,0
1471,8,2,0,-7,0,6,2,566,68,0,1,0,0,1,1,0,0,0,0,0,1,0
1473,25,1,0,-3,0,598,-42,336,-54,0,0,0,0,1,1,0,1,0,0,0,1,0
1474,148,3,0,15,617,7,3,56,2,20,0,0,1,0,0,1,0,0,1,0,0,0
1475,4,3,0,1,0,112,11,319,57,0,1,0,0,1,0,0,0,0,1,0,1,0
1476,245,3,0,8,610,1522,169,610,66,20,0,0,0,1,1,0,1,0,0,1,0,0
1477,523,3,0,52,882,48,7,565,-40,29,0,0,0,1,1,0,0,0,1,1,0,0
1479,198,4,0,-14,1284,2254,375,1780,323,42,1,0,0,1,0,0,1,0,0,1,0,0
1481,363,5,0,-31,768,573,-64,326,-30,25,0,1,0,0,0,0,0,0,1,1,0,0
1482,892,7,0,111,768,363,-31,609,5,25,0,1,0,0,0,0,0,0,1,0,0,1
1483,472,3,0,-149,56,1747,629,972,177,2,1,0,0,1,0,0,0,1,0,0,0,1
1484,760,6,0,-43,357,539,-7,480,-3,12,0,0,1,0,1,0,1,0,0,1,0,0
1485,38,3,0,7,357,760,-43,446,-14,12,0,0,1,0,1,0,1,0,0,0,1,0
1486,1685,6,0,320,0,300,11,672,111,0,0,0,0,0,1,0,0,0,1,0,0,1
1487,141,2,0,41,782,14,4,172,37,26,0,0,0,1,0,0,0,0,1,0,0,0
1488,10,3,0,4,328,103,16,52,13,11,1,0,0,1,1,0,1,0,0,0,1,0
1489,19,4,0,6,804,54,19,33,12,26,1,0,0,1,0,0,1,0,0,0,1,0
1491,27,2,0,9,267,257,67,129,0,8,0,0,0,1,0,1,0,0,0,0,1,0
1492,828,3,0,240,267,27,9,371,105,8,0,0,0,1,0,1,0,0,0,1,0,0
1500,717,3,0,71,31,6,2,256,31,1,1,0,1,0,0,0,0,0,1,1,0,0
1501,170,3,0,19,31,717,71,298,31,1,1,0,1,0,0,0,0,0,1,0,0,1
1502,145,2,0,3,1297,572,35,681,62,43,0,0,0,1,0,0,1,0,0,1,0,0
1503,908,9,0,227,388,418,5,580,118,13,0,0,0,0,0,0,1,0,0,1,0,0
1505,16,2,0,-22,654,74,-2,45,-4,21,1,0,0,1,0,1,0,0,0,0,1,0
1508,331,7,0,-114,916,14,4,230,-26,30,1,0,0,1,0,0,0,1,0,0,0,1
1513,113,8,0,44,270,1690,422,615,157,9,1,0,0,1,0,0,1,0,0,0,1,0
1515,66,7,0,26,548,842,42,366,28,18,1,0,1,0,0,0,0,0,1,0,1,0
1516,24,2,0,7,548,66,26,310,25,18,1,0,1,0,0,0,0,0,1,0,1,0
1517,4416,9,0,-630,628,322,64,1631,-206,21,1,0,1,0,0,0,1,0,0,1,0,0
1519,47,5,0,21,0,113,-5,91,8,0,0,0,0,1,0,1,0,0,0,0,1,0
1520,155,2,0,-35,0,79,-29,237,-5,0,0,0,1,0,1,0,0,0,0,1,0,0
1521,315,8,0,31,252,244,-31,985,-105,8,1,0,0,1,0,0,0,1,0,0,1,0
1522,273,2,0,-12,313,14,5,98,-1,10,1,0,0,1,1,0,0,0,1,0,0,0
1524,66,2,0,-9,1096,17,5,123,26,36,1,0,0,1,0,0,1,0,0,0,1,0
1525,57,3,0,23,778,9,3,318,68,25,1,0,0,1,1,0,0,0,0,0,1,0
1527,20,1,0,7,197,127,21,67,14,6,1,0,0,1,0,0,0,0,1,0,1,0
1528,292,4,0,-175,0,239,14,480,-71,0,1,0,0,0,0,0,0,0,0,0,0,1
1529,8,2,0,-7,0,292,-175,180,-56,0,1,0,0,0,0,0,0,0,0,0,1,0
1530,424,6,0,-30,0,8,-7,241,-71,0,1,0,0,0,0,0,0,0,0,0,0,0
1533,113,2,0,9,694,9,4,45,6,23,1,0,1,0,0,0,0,0,1,1,0,0
1536,41,2,0,10,1276,60,5,229,29,42,0,0,0,0,0,0,1,0,0,0,1,0
1537,111,2,0,14,0,27,11,53,11,0,0,0,0,1,0,1,0,0,1,0,1,0
1539,67,2,0,10,218,31,1,222,13,7,1,0,0,1,0,0,0,1,0,0,1,0
1540,54,3,0,14,218,67,10,51,8,7,1,0,0,1,0,0,0,1,0,0,1,0
1541,449,2,0,56,382,603,45,417,46,12,0,0,0,1,0,0,1,0,0,0,0,0
1542,192,3,0,36,82,67,-20,222,-21,3,0,0,1,0,1,0,1,0,0,1,0,0
1543,67,2,0,18,0,163,20,425,-85,0,1,0,0,1,0,0,0,1,0,1,0,0
1544,25,3,0,9,0,67,18,85,15,0,1,0,0,1,0,0,0,1,0,0,1,0
1545,721,6,0,-420,164,19,5,309,-139,6,0,0,0,1,1,0,0,1,0,0,0,1
1546,64,1,0,-12,164,721,-420,268,-142,6,0,0,0,1,1,0,0,1,0,1,0,0
1549,194,3,0,-36,0,220,24,152,-2,0,1,0,0,0,0,0,0,0,1,1,0,0
1550,347,7,0,-24,477,586,34,379,-8,15,1,0,0,1,1,0,1,0,0,1,0,0
1552,390,2,0,48,1291,2404,150,981,67,42,0,0,0,1,0,0,0,1,0,1,0,0
1553,101,5,0,19,1291,390,48,965,72,42,0,0,0,1,0,0,0,1,0,0,1,0
1554,313,2,0,-120,774,253,31,211,-34,25,1,0,0,1,1,0,1,0,0,0,0,1
1555,866,3,0,173,774,313,-120,477,28,25,1,0,0,1,1,0,1,0,0,1,0,0
1557,509,5,0,41,6,14,6,177,16,0,1,0,0,1,1,0,0,0,1,0,0,0
1558,122,3,0,34,6,509,41,215,27,0,1,0,0,1,1,0,0,0,1,0,1,0
1559,97,2,0,-6,6,122,34,243,23,0,1,0,0,1,1,0,0,0,1,1,0,0
1560,722,3,0,81,6,97,-6,314,36,0,1,0,0,1,1,0,0,0,1,1,0,0
1561,167,8,0,11,88,340,-34,357,-26,2,0,0,0,1,1,0,0,0,1,0,1,0
1562,172,1,0,-94,0,241,-14,677,82,0,1,0,0,1,0,0,1,0,0,0,0,1
1563,13,1,0,0,883,8,-4,57,12,29,1,0,0,1,0,1,0,0,1,0,1,0
1564,386,2,0,-5,267,718,-71,454,7,9,0,0,1,0,1,0,1,0,0,1,0,0
1565,36,3,0,6,981,68,20,75,15,32,0,0,0,1,0,0,1,0,0,0,1,0
1566,85,2,0,-6,655,66,-9,56,-3,21,1,0,1,0,0,0,0,0,0,1,0,0
1567,32,2,0,-26,655,85,-6,61,-13,21,1,0,1,0,0,0,0,0,0,0,1,0
1568,46,5,0,13,0,212,53,165,51,0,0,0,1,0,1,0,0,0,1,0,1,0
1569,236,2,0,-2,1196,681,42,315,5,40,1,0,0,1,0,0,0,0,1,0,0,1
1571,88,5,0,14,1222,63,10,238,17,40,0,0,0,0,0,0,0,1,0,0,1,0
1572,318,5,0,-77,365,419,-57,283,-41,12,1,0,1,0,0,1,0,0,0,1,0,0
1574,523,9,0,125,352,1196,119,579,83,12,1,0,0,0,0,0,0,1,0,0,0,0
1577,2573,9,0,746,0,844,-36,1145,239,0,0,0,0,1,0,1,0,1,0,1,0,0
1578,445,7,0,-108,160,22,-7,323,-68,5,0,0,1,0,1,0,1,0,0,1,0,0
1580,106,6,0,33,213,289,10,137,15,7,1,0,0,1,1,0,0,0,1,0,1,0
1584,396,5,0,148,1103,86,29,231,64,36,1,0,0,1,0,0,1,0,0,0,1,0
1586,1487,5,0,148,60,1805,523,1138,228,2,1,0,0,1,0,0,0,0,1,1,0,0
1588,266,3,0,-13,210,974,-97,604,-25,7,0,0,0,0,0,0,0,0,1,0,1,0
1589,483,4,0,54,210,266,-13,574,-18,7,0,0,0,0,0,0,0,0,1,1,0,0
1591,231,5,0,5,481,196,-22,179,-2,15,0,0,0,1,0,0,0,1,0,0,0,0
1592,13,2,0,-14,1413,19,5,130,23,47,0,0,0,1,0,0,0,0,0,0,1,0
1595,906,5,0,68,0,508,0,552,-98,0,0,0,0,1,1,0,0,0,1,1,0,0
1598,31,6,0,9,0,123,11,120,24,0,1,0,0,1,0,0,1,0,0,0,1,0
1599,170,1,0,0,1082,333,3,177,4,35,1,0,0,0,0,0,1,0,0,1,0,0
1608,71,2,0,-19,88,58,11,83,2,3,1,0,0,1,0,0,1,0,0,1,0,0
1609,887,3,0,-63,88,71,-19,338,-23,3,1,0,0,1,0,0,1,0,0,1,0,0
1610,25,3,0,-33,192,36,15,95,-5,6,1,0,0,1,0,0,0,0,0,0,1,0
1611,5,2,0,-1,192,25,-33,22,-6,6,1,0,0,1,0,0,0,0,0,0,1,0
1612,14,3,0,4,541,1781,-653,1141,-91,17,0,0,1,0,0,0,1,0,0,0,1,0
1615,75,9,0,19,469,99,2,103,15,15,1,0,1,0,0,1,0,0,0,0,1,0
1616,127,7,0,-9,0,479,81,411,39,0,1,0,0,0,0,1,0,0,0,1,0,0
1618,300,1,0,87,1318,1207,314,511,136,43,0,0,1,0,0,0,0,1,0,1,0,0
1619,258,3,0,77,1318,300,87,589,159,43,0,0,1,0,0,0,0,1,0,1,0,0
1620,441,2,0,101,873,8,3,358,-4,29,1,0,0,1,1,0,1,0,0,0,0,0
1625,187,4,0,76,0,19,8,140,23,0,0,1,0,0,0,1,0,0,1,0,1,0
1626,76,3,0,-53,0,602,-163,283,-74,0,1,0,0,1,0,0,0,0,0,0,1,0
1629,38,3,0,4,476,170,32,87,19,15,1,0,1,0,0,1,1,0,0,0,1,0
1630,446,4,0,0,476,38,4,218,12,15,1,0,1,0,0,1,1,0,0,0,0,1
1631,341,2,0,78,164,386,-185,265,-30,5,1,0,0,1,0,1,1,0,0,0,0,0
1632,605,6,0,151,164,341,78,444,14,5,1,0,0,1,0,1,1,0,0,1,0,0
1633,1568,9,0,329,14,1159,43,980,132,0,0,0,0,1,1,0,0,0,0,0,0,1
1634,872,3,0,157,1075,1133,294,966,177,35,1,0,0,0,1,0,0,1,0,0,0,1
1635,167,7,0,14,561,975,121,390,40,18,1,1,0,0,0,0,0,0,1,1,0,0
1636,526,2,0,-52,1086,9,2,186,-14,36,0,0,0,1,0,1,1,0,0,0,0,1
1638,77,3,0,15,578,908,227,468,82,19,0,0,1,0,0,0,0,1,0,0,1,0
1640,291,4,0,-25,647,1913,401,1402,167,21,1,0,0,1,0,1,0,0,1,1,0,0
1641,60,3,0,19,0,113,-18,503,10,0,0,0,0,1,0,0,0,1,0,0,1,0
1643,154,3,0,30,791,1421,-195,582,-57,26,0,0,1,0,1,0,1,0,0,0,1,0
1644,1779,5,0,373,274,1568,329,1502,248,9,0,1,0,0,1,0,1,0,0,1,0,0
1648,40,2,0,14,0,5,2,144,-23,0,1,0,1,0,0,0,0,0,1,0,1,0
1650,10,6,0,4,349,550,-47,449,40,11,1,0,0,0,0,0,1,0,0,0,1,0
1651,1497,2,0,140,960,21,7,621,-13,32,1,0,0,0,0,1,0,0,1,0,0,0
1654,63,3,0,6,0,82,33,238,15,0,1,0,0,1,1,0,0,0,1,1,0,0
1655,241,2,0,-15,0,48,9,223,-9,0,1,0,1,0,0,0,0,0,1,0,0,1
1656,307,4,0,-11,289,338,4,356,4,9,0,0,0,1,1,0,0,0,1,1,0,0
1662,915,4,0,102,185,148,15,356,40,6,0,0,0,1,0,1,0,0,1,1,0,0
1663,242,4,0,-302,610,366,-110,244,-128,20,1,0,1,0,0,1,0,0,0,0,1,0
1666,16,5,0,3,751,23,7,47,2,25,0,0,1,0,0,0,0,0,1,0,1,0
1667,16,1,0,4,751,16,3,18,5,25,0,0,1,0,0,0,0,0,1,0,1,0
1672,205,2,0,-12,762,268,6,187,6,25,1,0,0,1,0,0,0,0,1,0,0,0
1675,50,3,0,9,511,38,7,283,-8,17,0,0,1,0,1,0,1,0,0,0,1,0
1677,230,3,0,23,230,68,27,102,15,8,1,0,0,1,1,0,0,0,1,1,0,0
1678,81,2,0,-9,493,347,-24,338,0,16,1,0,0,0,1,0,0,0,1,1,0,0
1679,362,6,0,0,0,14,4,719,-216,0,0,0,0,1,0,0,0,0,0,1,0,0
1680,63,6,0,-34,0,362,0,146,-10,0,0,0,0,1,0,0,0,0,0,0,1,0
1682,72,5,0,26,1070,435,-59,218,-14,36,0,0,0,1,1,0,0,0,1,0,1,0
1683,206,3,0,5,1070,72,26,238,-9,36,0,0,0,1,1,0,0,0,1,0,0,1
1684,90,3,0,-190,775,1202,300,440,40,26,1,0,0,0,1,0,0,0,1,0,0,0
1685,120,1,0,13,775,90,-190,471,41,26,1,0,0,0,1,0,0,0,1,1,0,0
1686,254,3,0,0,244,8,-7,89,-1,8,1,0,0,1,1,0,1,0,0,0,1,0
1688,145,6,0,-247,543,359,-5,389,-54,18,1,0,1,0,0,0,0,0,1,0,0,0
1690,12,7,0,3,0,57,23,26,10,0,1,0,0,0,1,0,0,0,1,0,1,0
1691,45,3,0,15,162,42,16,455,85,6,1,0,0,0,0,0,1,0,0,0,1,0
1692,9,2,0,3,162,45,15,32,11,6,1,0,0,0,0,0,1,0,0,0,1,0
1693,1323,5,0,383,513,9,3,459,134,17,1,0,0,1,0,0,0,0,0,1,0,0
1694,18,3,0,6,578,253,-31,95,-12,19,0,1,0,0,0,0,1,0,0,0,1,0
1695,60,6,0,12,143,327,91,434,69,5,1,0,0,0,0,1,1,0,0,0,1,0
1696,657,5,0,-93,0,74,20,256,-20,0,0,0,0,1,1,0,0,0,0,1,0,0
1697,210,2,0,50,433,213,15,147,23,14,1,0,1,0,1,0,1,0,0,0,1,0
1698,23,3,0,-10,102,111,51,53,9,4,1,0,0,1,0,0,0,0,0,0,1,0
1699,75,9,0,-20,521,13,-14,36,-9,17,0,0,0,0,0,0,0,0,0,0,1,0
